asn,category
38293,gov
38296,gov
38328,gov
38414,gov
38450,gov
38470,gov
38526,gov
38574,gov
38603,gov
38764,gov
38863,gov
38886,gov
38915,gov
39098,gov
39154,gov
39279,gov
39353,gov
39658,gov
39662,gov
39675,gov
39804,gov
39949,gov
39961,gov
39990,gov
40042,gov
40109,gov
40116,gov
40148,gov
40158,gov
40249,gov
40267,gov
40382,gov
40411,gov
40468,gov
40553,gov
40623,gov
40648,gov
40651,gov
40749,gov
40839,gov
41289,gov
41306,gov
41312,gov
41336,gov
41376,gov
41394,gov
41424,gov
41502,gov
41530,gov
41548,gov
41636,gov
41716,gov
41739,gov
41888,gov
42056,gov
42142,gov
42165,gov
42211,gov
42848,gov
42894,gov
43011,gov
43028,gov
43104,gov
43188,gov
43193,gov
43344,gov
43378,gov
43381,gov
43475,gov
43558,gov
43797,gov
43806,gov
43838,gov
43922,gov
44110,gov
44328,gov
44403,gov
44442,gov
44560,gov
44689,gov
44698,gov
44998,gov
45316,gov
45353,gov
45442,gov
45703,gov
45712,gov
45732,gov
45793,gov
45808,gov
46017,gov
46093,gov
46153,gov
46169,gov
46376,gov
46439,gov
46491,gov
46520,gov
46522,gov
46565,gov
46631,gov
46637,gov
46674,gov
46692,gov
46788,gov
46792,gov
46846,gov
46879,gov
46880,gov
46963,gov
46966,gov
47031,gov
47032,gov
47519,gov
47672,gov
47736,gov
47797,gov
47922,gov
47944,gov
48037,gov
48109,gov
48184,gov
48247,gov
48298,gov
48703,gov
48751,gov
48843,gov
48928,gov
49010,gov
49016,gov
49049,gov
49077,gov
49234,gov
49324,gov
49369,gov
49437,gov
49507,gov
49666,gov
49728,gov
49918,gov
49932,gov
49950,gov
50192,gov
50222,gov
50233,gov
50252,gov
50256,gov
50270,gov
50290,gov
50758,gov
50893,gov
50944,gov
51010,gov
51051,gov
51098,gov
51172,gov
51438,gov
51455,gov
51482,gov
51566,gov
51707,gov
51882,gov
51912,gov
51970,gov
52184,gov
52293,gov
52318,gov
52608,gov
52622,gov
52628,gov
52649,gov
52740,gov
52867,gov
52890,gov
52958,gov
52997,gov
53012,gov
53016,gov
53116,gov
53159,gov
53188,gov
53203,gov
53204,gov
53302,gov
53442,gov
53455,gov
53472,gov
53500,gov
53527,gov
53789,gov
54050,gov
54068,gov
54099,gov
54156,gov
54157,gov
54179,gov
54199,gov
54222,gov
54245,gov
54332,gov
54371,gov
54385,gov
54469,gov
54474,gov
54549,gov
54669,gov
54735,gov
54797,gov
54832,gov
54883,gov
54885,gov
55046,gov
55063,gov
55131,gov
55135,gov
55178,gov
55330,gov
55433,gov
55435,gov
55446,gov
55566,gov
55580,gov
55741,gov
55870,gov
56051,gov
56105,gov
56141,gov
56236,gov
56506,gov
56519,gov
56557,gov
56561,gov
56588,gov
56670,gov
56751,gov
56855,gov
56929,gov
56974,gov
56978,gov
57058,gov
57124,gov
57201,gov
57352,gov
57445,gov
57580,gov
57602,gov
57637,gov
57729,gov
57736,gov
57956,gov
57965,gov
57968,gov
58031,gov
58083,gov
58151,gov
58185,gov
58282,gov
58469,gov
58476,gov
58488,gov
58545,gov
58716,gov
58812,gov
59132,gov
59142,gov
59151,gov
59189,gov
59193,gov
59503,gov
59619,gov
59715,gov
59801,gov
60179,gov
60279,gov
60324,gov
60562,gov
60583,gov
60903,gov
60967,gov
60997,gov
61014,gov
61106,gov
61128,gov
61160,gov
61352,gov
61353,gov
61458,gov
61569,gov
61572,gov
61612,gov
61656,gov
61738,gov
61779,gov
61903,gov
61933,gov
62022,gov
62090,gov
62186,gov
62220,gov
62260,gov
62364,gov
62507,gov
62548,gov
62559,gov
62648,gov
62658,gov
62798,gov
62841,gov
62924,gov
63010,gov
63097,gov
63254,gov
63316,gov
63317,gov
63385,gov
63500,gov
63770,gov
63932,gov
64026,gov
64261,gov
131150,gov
131239,gov
131268,gov
131279,gov
131341,gov
131693,gov
131724,gov
131765,gov
131782,gov
131784,gov
131785,gov
132027,gov
132043,gov
132066,gov
132117,gov
132205,gov
132219,gov
132228,gov
132237,gov
132293,gov
132321,gov
132469,gov
132599,gov
132616,gov
132634,gov
132723,gov
132909,gov
133015,gov
133037,gov
133102,gov
133345,gov
133383,gov
133387,gov
133826,gov
133839,gov
134073,gov
134099,gov
134111,gov
134131,gov
134164,gov
134635,gov
134659,gov
134690,gov
134819,gov
135008,gov
135018,gov
135118,gov
135457,gov
135471,gov
135472,gov
135473,gov
135485,gov
135551,gov
135666,gov
135675,gov
135769,gov
135835,gov
135860,gov
136035,gov
136060,gov
136067,gov
136085,gov
136087,gov
136094,gov
136154,gov
136291,gov
136601,gov
136656,gov
136659,gov
136667,gov
136701,gov
136842,gov
136882,gov
136889,gov
136971,gov
137287,gov
137291,gov
137294,gov
137308,gov
137318,gov
137340,gov
137342,gov
137361,gov
137379,gov
137381,gov
137540,gov
137590,gov
137646,gov
137671,gov
138050,gov
138055,gov
138059,gov
138071,gov
138082,gov
138086,gov
138095,gov
138097,gov
138114,gov
138127,gov
138247,gov
138488,gov
138727,gov
138806,gov
138835,gov
138851,gov
138852,gov
138858,gov
139154,gov
139237,gov
139364,gov
139368,gov
139439,gov
139501,gov
139614,gov
139828,gov
139940,gov
139943,gov
139948,gov
139980,gov
139992,gov
140002,gov
140023,gov
140110,gov
140170,gov
140424,gov
141048,gov
141058,gov
141066,gov
141288,gov
141295,gov
141478,gov
141501,gov
141583,gov
141644,gov
141659,gov
142314,gov
142343,gov
142384,gov
147136,gov
147171,gov
149154,gov
149265,gov
149372,gov
149375,gov
149384,gov
149402,gov
149607,gov
149676,gov
149699,gov
149748,gov
149889,gov
149968,gov
149974,gov
150188,gov
150283,gov
150442,gov
150925,gov
150943,gov
151007,gov
151561,gov
151645,gov
152422,gov
152576,gov
152671,gov
153075,gov
153213,gov
154367,gov
196722,gov
196778,gov
196821,gov
196852,gov
196870,gov
196902,gov
197016,gov
197136,gov
197370,gov
197489,gov
197497,gov
197553,gov
197668,gov
197829,gov
197869,gov
197874,gov
197942,gov
197973,gov
198033,gov
198142,gov
198435,gov
198472,gov
198530,gov
198531,gov
198561,gov
198687,gov
198730,gov
198815,gov
199131,gov
199148,gov
199189,gov
199300,gov
199350,gov
199541,gov
199583,gov
199663,gov
199729,gov
199844,gov
200145,gov
200189,gov
200364,gov
200521,gov
200538,gov
200568,gov
200630,gov
200764,gov
200777,gov
201139,gov
201174,gov
201547,gov
201557,gov
201643,gov
