asn,name,category
6821,Makedonski Telekom AD-Skopje,dsl
6830,Liberty Global Europe Holding B.V.,dsl
6848,Telenet BV,dsl
6849,JSC Ukrtelecom,dsl
6855,"Slovak Telekom, a.s.",dsl
6856,AO IK Informsvyaz-Chernozemye,dsl
6866,Cyprus Telecommunications Authority,dsl
6871,Plusnet plc,dsl
6876,TENET Scientific Production Enterprise LLC,dsl
6910,DIGI ROMANIA S.A.,dsl
7015,"Comcast Cable Communications, LLC",dsl
7016,"Comcast Cable Communications, LLC",dsl
7018,"AT&T Enterprises, LLC",dsl
7029,Windstream Communications LLC,dsl
7057,Managed Network Systems Inc.,dsl
7063,Leste Telecom,dsl
7065,"Sonic.net, LLC",dsl
7106,"Com Net, Inc.",dsl
7122,Bell Canada,dsl
7155,"ViaSat,Inc.",dsl
7303,Telecom Argentina S.A.,dsl
7418,TELEFÓNICA CHILE S.A.,dsl
7420,Zamnet,dsl
7438,PEGASO PCS,dsl
7459,"Grande Communications Networks, LLC",dsl
7470,"TRUE INTERNET Co.,Ltd.",dsl
7482,Asia Pacific On-line Service Inc.,dsl
7522,"STNet, Incorporated",dsl
7524,"ITEC HANKYU HANSHIN CO.,LTD.",dsl
7532,Gamania CloudForce,dsl
7545,TPG Telecom Limited,dsl
7552,Viettel Group,dsl
7565,BDCOM Online Limited,dsl
7600,EscapeNet Pty Ltd,dsl
7642,DHIVEHI RAAJJEYGE GULHUN PLC,dsl
7679,"QTnet,Inc.",dsl
7713,PT Telkom Indonesia Tbk,dsl
7725,"Comcast Cable Communications, LLC",dsl
7727,Hondutel,dsl
7738,V.tal,dsl
7782,"Alaska Communications Systems Group, Inc.",dsl
7794,Execulink Telecom Inc.,dsl
7843,Charter Communications Inc,dsl
7922,"Comcast Cable Communications, LLC",dsl
7992,Cogeco Connexion Inc.,dsl
8014,Bahamas Telecommunications Corporation,dsl
8048,"CANTV Servicios, Venezuela",dsl
8092,"Access Media Holdings, LLC",dsl
8151,UNINET,dsl
8163,Metrotel SA ESP,dsl
8167,V.tal,dsl
8193,Uzbektelekom Joint Stock Company,dsl
8228,Societe Francaise Du Radiotelephone - SFR SA,dsl
8251,"FreeTel, s.r.o.",dsl
8273,Norlys Digital A/S,dsl
8301,Gibtelecom Ltd.,dsl
8331,JSC ER-Telecom Holding,dsl
8334,JOINT-STOCK COMPANY TELEPORT TELECOM,dsl
8339,kabelplus GmbH,dsl
8346,SONATEL-AS Autonomous System,dsl
8359,MTS PJSC,dsl
8369,Intersvyaz-2 JSC,dsl
8371,PJSC Vimpelcom,dsl
8374,Polkomtel Sp. z o.o.,dsl
8376,Jordan Data Communications Company LLC,dsl
8386,Vodafone Turkey,dsl
8400,Telekom Srbija a.d.,dsl
8402,Vimpelcom OJSC (Beeline),dsl
8412,T-Mobile Austria GmbH,dsl
8416,InfoLada Ltd,dsl
8422,NetCologne,dsl
8427,Joint Stock Company TransTeleCom,dsl
8437,Hutchison Drei Austria GmbH,dsl
8439,AIST JSC,dsl
8445,"SALZBURG AG fur Energie, Verkehr und Telekommunikation",dsl
8447,A1 Telekom Austria AG,dsl
8448,CETIN Hungary Zrt.,dsl
8452,Telecom Egypt,dsl
8462,Tarr Kft.,dsl
8468,Cityfibre Limited,dsl
8473,Bahnhof AB,dsl
8477,Echostar Studio Sp. z o.o.,dsl
8492,OBIT Ltd.,dsl
8551,Bezeq International Ltd.,dsl
8580,MTS PJSC,dsl
8585,Crnogorski Telekom a.d.Podgorica,dsl
8591,"A1 Slovenija telekomunikacijske storitve,d.d.",dsl
8595,OOO WestCall Ltd.,dsl
8612,Tiscali Italia S.P.A.,dsl
8615,Central Telegraph Public Joint-stock Company,dsl
8632,Luxembourg Online S.A.,dsl
8636,MAXnet Systems Ltd.,dsl
8672,A1 Bulgaria EAD,dsl
8680,Sure (Guernsey) Limited,dsl
8681,JT (Jersey) Limited,dsl
8697,Jordan Telecommunications PSC,dsl
8708,DIGI ROMANIA S.A.,dsl
8717,A1 Bulgaria EAD,dsl
8728,AS INFONET,dsl
8732,JSC Comcor,dsl
8737,KPN B.V.,dsl
8749,JSC Redcom-lnternet,dsl
8752,AO ASVT,dsl
8758,Iway AG,dsl
8764,"Telia Lietuva, AB",dsl
8767,M-net Telekommunikations GmbH,dsl
8779,KhmelnitskInfocom LTD,dsl
8781,Ooredoo Q.S.C.,dsl
8801,Rocket Fibre Ltd,dsl
8818,Tusass A/S,dsl
8821,WWZ Telekom AG,dsl
8829,ElmoNet Oy,dsl
8866,Vivacom Bulgaria EAD,dsl
8881,1&1 Versatel GmbH,dsl
8897,KCOM Group Limited,dsl
8905,Digit One LLC,dsl
8920,JSC RTComm.RU,dsl
8926,Moldtelecom SA,dsl
8932,Ucom CJSC,dsl
8948,099 PRIMO COMMUNICATIONS LTD,dsl
8953,Orange Romania S.A.,dsl
8990,4iG Telecommunications Holding Zrt,dsl
9031,EDPNET Belgium BV,dsl
9038,Al Bahrainia al Urdunia Liltaknia Wa Alitisalat Plc. Co,dsl
9050,Orange Romania S.A.,dsl
9051,IncoNet Data Management sal,dsl
9063,VSE NET GmbH,dsl
9070,Cooolbox AD,dsl
9105,TalkTalk Communications Limited,dsl
9116,Partner Communications Ltd.,dsl
9119,SOFTNET d.o.o.,dsl
9121,Turk Telekom,dsl
9125,Orion telekom d.o.o.,dsl
9136,WOBCOM GmbH,dsl
9141,P4 Sp. z o.o.,dsl
9145,EWE TEL GmbH,dsl
9146,BH Telecom d.d.,dsl
9155,Quality Net General Trading & Contracting Company,dsl
9158,Telenor A/S,dsl
9198,JSC Kazakhtelecom,dsl
9205,SATELIT SERVIS Ltd,dsl
9228,PT Total Info Kharisma,dsl
9230,Bangladesh Online Ltd.,dsl
9231,China Mobile Hong Kong Company Limited,dsl
9249,Telecom Vanuatu Limited,dsl
9260,Multinet Pakistan Pvt. Ltd.,dsl
9269,Hong Kong Broadband Network Ltd.,dsl
9299,PLDT (Philippine Long Distance Telephone Company),dsl
9304,HGC Global Communications Limited,dsl
9318,SK Broadband Co Ltd,dsl
9326,PT Centrin Utama,dsl
9329,Sri Lanka Telecom Internet,dsl
9341,PT Indonesia Comnets Plus,dsl
9351,"ZTV CO.,LTD",dsl
9354,Community Network Center Inc.,dsl
9365,its communications Inc.,dsl
9381,HKBN Enterprise Solutions HK Limited,dsl
9394,China TieTong Telecommunications Corporation,dsl
9416,Hoshin Multimedia Center Inc.,dsl
9443,Vocus Retail,dsl
9471,ONATI,dsl
9498,Bharti Airtel Ltd.,dsl
9500,One New Zealand Group Limited,dsl
9506,Singtel Fibre Broadband,dsl
9534,Maxis,dsl
9541,Cyber Internet Services (Pvt) Ltd.,dsl
9583,Sify Limited,dsl
9595,NTT-ME Corporation,dsl
9605,"NTT DOCOMO, INC.",dsl
9617,"JCOM Co., Ltd.",dsl
9644,SK Telecom,dsl
9648,Australia On-Line Pty Ltd,dsl
9657,PT Melvar Lintasnusa,dsl
9676,SaveCom Internation Inc.,dsl
9689,SK Broadband Co Ltd,dsl
9694,Seokyung Cable Television Co.. Ltd.,dsl
9756,SK Broadband Co Ltd,dsl
9762,"kt HCN Co.,Ltd.",dsl
9790,Two Degrees Networks Limited,dsl
9808,China Mobile Backbone,dsl
9824,"JCOM Co., Ltd.",dsl
9829,BSNL (Bharat Sanchar Nigam Ltd),dsl
9845,LG HelloVision Corp.,dsl
9873,"Lao Telecom Communication, LTC",dsl
9902,NTC Neocom,dsl
9905,PT Link Net Tbk,dsl
9908,HK Cable TV Ltd,dsl
9919,"New Century InfoComm Tech Co., Ltd.",dsl
9922,New Kaohsiung Broadband LTD.,dsl
9924,"Taiwan Fixed Network, Telco and Network Service Provider.",dsl
9930,TIME dotCom Bhd,dsl
9937,Delta Networks,dsl
9971,SK Broadband Co Ltd,dsl
9976,"Namincheon Brodcasting Co., Ltd.",dsl
9981,Saero Network Service LTD,dsl
9988,Myanma Posts and Telecommunications,dsl
10010,TOKAI Communications Corporation,dsl
10013,"FreeBit Co.,Ltd.",dsl
10030,Celcom Axiata Berhad,dsl
10085,"Hsin Yeong An Cable TV Co., Ltd.",dsl
10091,StarHub Ltd,dsl
10094,Unified National Networks,dsl
10099,China Unicom Global,dsl
10118,Hutchison Telephone Company Limited,dsl
10139,"Smart Broadband, Inc.",dsl
10143,Exetel Pty Ltd,dsl
10164,SK Broadband Co Ltd,dsl
10214,Pentanet Limited,dsl
10219,Skymedia Corporation,dsl
10242,US Internet Corp,dsl
10318,Telecom Argentina S.A.,dsl
10396,"DATACOM CARIBE, INC.",dsl
10423,STELLAR Broadband,dsl
10429,Vivo (TELEFÔNICA BRASIL),dsl
10474,Dimension Data,dsl
10481,Telecom Argentina S.A.,dsl
10507,Sprint Personal Communications Systems,dsl
10620,Telmex Colombia S.A.,dsl
10750,Mark Twain Rural Telephone Co.,dsl
10796,Charter Communications Inc,dsl
11071,InfoWest,dsl
