asn,name,category
34156,DB Systel GmbH (German Railway),company
34403,ING BANK ANONIM SIRKETI,company
34409,Polska Press Sp. z o.o.,company
34417,BluOr Bank,company
34437,CovertHart Networks,company
34478,TUBITAK Ulusal Elektronik ve Kriptoloji Arastirrma En...,company
34535,"Standart AG, LLC",company
35036,Akciju sabiedriba RD ALFA,company
35237,Sberbank of Russia PJSC,company
35333,VIA SMS Group,company
35484,SIA ALSO Latvia,company
35574,SED Multitel s.r.l.,company
35600,Vedege SAS,company
35636,SIA Worldline Latvia,company
35676,La Poste S.A.,company
35734,SIA PNB Print,company
35809,SIA DIVI Grupa,company
35995,Twitter Inc.,company
36385,Google (Corporate Network),company
36459,"GitHub, Inc.",company
36599,"SoftEther Telecommunication Research Institute, LLC",company
37028,First Rand Bank Limited,company
37497,Network Platforms (PTY) LTD,company
37725,Xyberdata,company
38381,TravelSky Technology Limited,company
38494,PT Bakrie & Brothers Tbk,company
38498,Bank Maybank Indonesia,company
38529,Reliance Industries Limited WAN Backbone Interface wi...,company
38567,PT Rekayasa Industri,company
38846,"Wolf Feather Culture Information Co., Ltd.",company
39083,David Froehlich,company
39472,Arion Banki hf,company
39532,Landsbankinn hf,company
39688,JSC OTP BANK,company
39829,Iristel Romania SRL,company
39937,"LTech Solutions, Ltd.",company
40955,"Red Hat, Inc.",company
41067,SEB Russia,company
41726,SIA B2 Impact,company
41878,Crosskey Banking Solutions Ab Ltd,company
41960,Nextpertise B.V.,company
41983,Kaspersky Lab Switzerland GmbH,company
42078,XOTEL SIA,company
42663,SIA LATVIJAS TALRUNIS,company
42849,SIA KODO IT (DATALAT),company
43037,"Seznam.cz, a.s.",company
43355,GATWICK AIRPORT LIMITED,company
43397,items GmbH & Co. KG,company
43682,SEB Estonia,company
43897,TECE GmbH,company
43956,Latvijas Finieris A/S,company
43973,QIWI JSC,company
44022,Barclays Bank PLC,company
44320,Skandinaviska Enskilda Banken AB,company
44534,YANDEX LLC,company
44595,AO Publishing House Seven Days,company
44644,Árvakur hf,company
44949,Gigacodes GmbH,company
45062,NetEase,company
45131,REANNZ Head Office,company
45314,PT Medco E&P Indonesia,company
45566,Google APAC Corporate Network,company
45736,DCS1 - Lighthouse Canton,company
45748,PIA : Pakistan International Airlines,company
45806,Siam Commercial Bank,company
46022,PT Aliansi Sakti,company
46024,PT Bank Negara Indonesia (Persero) Tbk,company
46644,Social Blade LLC,company
47284,Motor Insurers Bureau of Latvia,company
47446,Barclays Bank lreland PLC,company
47536,PathConnect GmbH,company
47545,Verkís hf,company
47764,LLC VK (Mail.ru),company
47828,Rapyd Europe hf.,company
47941,Red Hat Ltd,company
48070,DSM (GB) Limited,company
48075,S.W.I.F.T. SC,company
48352,LIS Logistische Informationssysteme GmbH,company
48821,Mauve Mailorder Software Verwaltung GmbH,company
48867,Regional Investment Bank,company
48918,Globalways GmbH,company
48927,ESEVEN DevOps GmbH,company
48972,BetterBe B.V.,company
49036,SIA Euro Live Technologies,company
49419,Iver Sverige AB,company
49473,AZV- Südholstein AöR,company
49552,OpenSource Security GmbH,company
49670,Insta DefSec Oy,company
50040,ANO TV NOVOSTI,company
50156,Boxed IT Ltd.,company
50323,LEGO System A/S,company
50485,Belam - Riga SIA,company
50628,Leonix Telecom SAS,company
50731,PRO-9 SIA,company
50807,Inspiretec LTD,company
50845,Verifone Systems France SAS,company
50943,HHLA Hamburger Hafen und Logistik AG,company
51268,Magnetiq Bank,company
51296,Handpoint ehf,company
51335,Celeste SAS,company
51338,SIA Latvijas Propana gaze,company
51347,ESTERIA (SMS solutions SIA),company
51405,Voipgate S.A.,company
51610,Signet Bank,company
51625,Turkish Airlines Inc.,company
51735,"Pernod Ricard Slovenija, Trgovina in storitve, d.o.o.",company
