asn,name,category
6366,Portland State University,large
6389,"AT&T Enterprises, LLC",large
6429,Telmex Chile Internet S.A.,large
6510,Brigham Young University,large
6619,SamsungSDS Inc.,large
6629,National Oceanic and Atmospheric Administration,large
6646,"Aetna, Inc.",large
6698,Virtual Systems LLC,large
6724,Strato GmbH,large
6730,Sunrise GmbH,large
6758,Monaco Telecom S.A.,large
6799,Ote SA (Hellenic Telecommunications Organisation),large
6805,Telefonica Germany (o2),large
6810,Bezeq- THE ISRAEL TELECOMMUNICATION CORP. LTD.,large
6830,Liberty Global Europe Holding B.V.,large
6848,Telenet BV,large
6855,"Slovak Telekom, a.s.",large
6939,Hurricane Electric LLC,large
6949,"Charles Schwab & Co., Inc.",large
7004,TELEFÓNICA CHILE S.A.,large
7018,"AT&T Enterprises, LLC",large
7040,Netminders Server Hosting,large
7046,Verizon Business,large
7162,Scala Data Centers / UNIVERSO ONLINE S/A,large
7276,University of Houston,large
7301,National Academy of Sciences,large
7303,Telecom Argentina S.A.,large
7359,"CenturyLink Communications, LLC",large
7506,"GMO Internet Group, Inc.",large
7552,Viettel Group,large
7575,Australian Academic and Research Network (AARNet),large
7625,Kakao Corp,large
7630,KASIKORNBANK PUBLIC COMPANY LIMITED,large
7684,SAKURA Internet Inc.,large
7726,FedEx Internet Technologies Corporation,large
7764,National Oceanic and Atmospheric Administration,large
7843,Charter Communications Inc,large
7896,The Board of Regents of the University of Nebraska,large
7922,"Comcast Cable Communications, LLC",large
7941,Internet Archive,large
7973,Mayo Foundation for Medical Education and Research,large
7979,"Servers.com, Inc.",large
8030,AT&T WorldNet,large
8068,Microsoft Corporation,large
8069,Microsoft Corporation,large
8070,Microsoft Corporation,large
8075,Microsoft Corporation,large
8076,Department of Housing and Urban Development,large
8151,UNINET,large
8193,Uzbektelekom Joint Stock Company,large
8220,COLT,large
8234,RAI RadioTelevisione Italiana SPA,large
8248,Computer Technology Institute and Press Diophantus,large
8255,Euro-Information-Europeenne de Traitement de lInform...,large
8267,Academic Computer Centre CYFRONET AGH,large
8291,The Federal Guard Service of the Russian Federation,large
8303,Westdeutscher Rundfunk Köln,large
8304,Ecritel SASU,large
8308,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INS...,large
8342,JSC RTComm.RU,large
8359,MTS PJSC,large
8374,Polkomtel Sp. z o.o.,large
8391,Knipp Medien und Kommunikation GmbH,large
8400,Telekom Srbija a.d.,large
8412,T-Mobile Austria GmbH,large
8414,International Telecommunication Union,large
8426,Claranet Limited,large
8434,Telenor Sverige AB,large
8484,Novye oblachnye technologii LLC,large
8535,Agora TC Sp.z.o.o.,large
8551,Bezeq International Ltd.,large
8560,IONOS SE,large
8612,Tiscali Italia S.P.A.,large
8648,dogado GmbH,large
8659,United Nations International Computing Centre,large
8660,Italiaonline S.p.A.,large
8674,Netnod AB,large
8692,Bundesrechenzentrum GmbH,large
8708,DIGI ROMANIA S.A.,large
8739,ICDSoft Ltd.,large
8763,DENIC eG,large
8767,M-net Telekommunikations GmbH,large
8839,SDV6TM SAS,large
8856,UkrNet Ltd.,large
8881,1&1 Versatel GmbH,large
8883,UBS AG,large
8891,Orange S.A.,large
8901,GKU Mosgortelecom,large
8972,Host Europe GmbH,large
8985,Join-stock company Internet ExchangeMSK-IX,large
8987,Amazon Gov Cloud,large
9002,RETN Limited,large
9063,VSE NET GmbH,large
9121,Turk Telekom,large
9123,JSC TIMEWEB,large
9145,EWE TEL GmbH,large
9158,Telenor A/S,large
9159,Credit Agricole SA,large
9198,JSC Kazakhtelecom,large
9286,KINX,large
9308,Abitcool(China) Inc.,large
9318,SK Broadband Co Ltd,large
9370,SAKURA Internet Inc.,large
9371,SAKURA Internet Inc.,large
9498,Bharti Airtel Ltd.,large
9597,KDDI Web Communications Inc.,large
9607,"BroadBand Tower, Inc.",large
9644,SK Telecom,large
9752,Flipkart Internet Pvt Ltd,large
9808,China Mobile Backbone,large
9829,BSNL (Bharat Sanchar Nigam Ltd),large
9891,CS LOXINFO Public Company Limited.,large
9924,"Taiwan Fixed Network, Telco and Network Service Provider.",large
9952,Hostway IDC,large
10010,TOKAI Communications Corporation,large
10029,SHYAM SPECTRA PVT LTD,large
10122,NETSTAR (SG) PTE. LTD.,large
10158,Kakao Corp,large
10361,"Bloomberg, LP",large
10411,Environmental Systems Research Institute,large
10668,"Lee Enterprises, Incorporated",large
10670,COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO ESTADO MG,large
10694,"Monster Worldwide, Inc.",large
10745,ARIN Operations,large
10753,"Level 3 Parent, LLC",large
10755,Dartmouth College,large
10794,"Bank of America, National Association",large
10846,Deere & Company,large
10879,Unitedhealthcare,large
10912,Unitas Global,large
10921,Commonwealth of KentuckyDepartment of Information Systems,large
10929,eStruxture Data Centers Inc.,large
10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,large
10966,"Alaska Airlines, Inc.",large
10982,"TiVo, Inc.",large
10996,Concorde inc.,large
11019,"HAProxy Technologies, Inc.",large
11054,"LivePerson, Inc.",large
11078,Brown University,large
11105,Simon Fraser University,large
11106,"Wolfram Research, Inc.",large
11207,"Boston Globe Media Partners, LLC",large
11273,"Fiserv Solutions, LLC",large
11278,Nintendo Of America inc.,large
11279,George Mason University,large
11403,NYI,large
11406,CIGNA,large
11426,Charter Communications Inc,large
11432,Telium Telecomunicações Ltda,large
11442,North Carolina State University,large
11492,"CABLE ONE, INC.",large
11520,Allstate Insurance Company,large
11664,Techtel LMDS Comunicaciones Interactivas S.A.,large
11696,"Fusion, LLC",large
11719,Eaton Corporation,large
11740,Progressive Casualty Insurance Company,large
11745,University System of New Hampshire,large
11790,"Random House, Inc.",large
11807,Divertissements GameLoft Inc,large
11827,Washington State University,large
11840,Verisign Anycast US 0D,large
11855,Unitas Global,large
11872,Syracuse University,large
11985,Social Security Administration,large
12005,University of South Carolina,large
12059,Internet Light and Power Inc.,large
12079,Verizon Business,large
12145,Colorado State University,large
12148,Clemson University,large
12217,UNITED PARCEL SERVICE,large
12229,"SAS Institute, Inc.",large
12257,"Dell, Inc.",large
12301,Invitech ICT Services Kft.,large
